id,name,summary
miscellaneous,Miscellaneous,"The unclassifiable."
utilities,Utilities,"Useful tools to work with SQLite."
python,Python,"Python programming language."
application,Applications,"Solutions using SQLite as a building block."
go,Go,"Go programming language."
javascript,JavaScript,"JavaScript programming language"
extensions,Extensions,"Extensions to enhance SQLite."
rust,Rust,"Rust programming language."
security,Security,"Security enhancements."
c,C,"C programming language."
geospatial,Geospatial,"Related to geographic and spatial data."
deno,Deno,"Related to the Deno engine."
webassembly,"WebAssembly","WebAssembly programming language."
git,"Git","Git distributed version control system."
